student_id,gender,branch,cgpa,attendance,internships,coding_score,communication_score,placed,salary_lpa
1,Female,IT,7.85,90.2,0,69.0,75.0,No,0.0
2,Female,CSE,6.73,80.4,0,56.0,46.0,No,0.0
3,Male,IT,6.19,75.7,0,54.0,59.24390243902439,No,0.0
4,Male,CSE,6.66,76.1,1,60.0,74.0,Yes,4.95
5,Male,CSE,9.05,83.2,0,46.0,100.0,Yes,7.31
6,Female,CE,6.91,76.7,0,49.0,36.0,Yes,5.16
7,Male,CSE,8.26,78.2,0,59.0,68.0,No,0.0
8,Male,ME,8.09,66.6,2,70.0,37.0,Yes,8.35
9,Male,IT,8.01,88.6,2,66.93181818181819,58.0,Yes,7.48
10,Male,ME,7.129736842105263,48.8,0,77.0,38.0,Yes,7.57
11,Male,CE,8.68,69.8,0,61.0,53.0,Yes,7.1
12,Male,ME,7.53,76.0,2,89.0,55.0,Yes,7.94
13,Male,CSE,7.5,77.6,0,25.0,65.0,Yes,4.43
14,Male,CE,6.4,93.9,0,67.0,59.0,Yes,3.32
15,Male,CSE,7.26,95.0,0,72.0,56.0,Yes,5.42
16,Male,CE,6.03,86.4,0,76.0,47.0,No,0.0
17,Male,ECE,8.58,65.1,0,56.0,85.0,Yes,6.88
18,Male,ECE,6.14,79.7,1,79.0,57.0,Yes,0.0
19,Female,CE,6.88,83.1,2,56.0,80.0,Yes,8.26
20,Female,CSE,7.46,82.8,0,84.0,46.0,No,0.0
21,Female,ME,6.52,77.3,0,68.0,72.0,Yes,4.83
22,Male,CSE,6.49,93.7,1,77.0,71.0,Yes,4.965
23,Female,IT,8.16,79.1,1,56.0,62.0,Yes,5.84
24,Male,CE,6.38,77.8,2,87.0,100.0,Yes,6.52
25,Female,CSE,6.13,79.8,2,73.0,71.0,No,0.0
26,Female,CE,6.35,59.9,2,61.0,52.0,Yes,6.04
27,Male,ECE,7.59,75.6,2,57.0,73.0,No,0.0
28,Male,IT,8.27,80.2,2,82.0,60.0,Yes,8.55
29,Male,ME,8.15,81.5,2,57.0,37.0,Yes,6.87
30,Male,IT,7.28,81.9,0,40.0,46.0,No,0.0
31,Male,ME,6.87,67.7,0,73.25641025641026,95.0,No,0.0
32,Female,EEE,9.04,54.7,2,77.0,53.0,Yes,7.04
33,Female,CSE,7.7,83.7,1,64.0,55.0,Yes,7.75
34,Male,EEE,7.6,95.0,1,85.0,49.0,No,0.0
35,Male,CSE,5.92,79.4,1,81.0,59.0,Yes,4.51
36,Male,CSE,8.83,60.7,1,68.0,53.0,Yes,8.25
37,Male,EEE,7.21,77.0,0,63.0,69.0,No,0.0
38,Male,IT,7.33,95.0,2,45.0,66.0,No,0.0
39,Male,CSE,7.09,77.8,0,55.0,73.0,Yes,4.6
40,Male,ME,7.56,68.1,1,73.25641025641026,68.0,No,0.0
41,Male,CSE,7.95,81.1,3,53.0,41.0,Yes,8.16
42,Male,ME,7.0,83.3,0,77.0,60.0,No,0.0
43,Female,IT,8.13,78.2,3,78.0,88.0,Yes,0.0
44,Male,CSE,8.36,82.9,2,64.0,59.0,Yes,8.35
45,Male,IT,7.05,79.1,1,61.0,59.24390243902439,No,0.0
46,Male,EEE,7.477857142857142,60.5,2,53.0,50.0,Yes,7.67
47,Male,ME,8.06,73.4,0,60.0,59.0,No,0.0
48,Male,CSE,7.52,66.7,1,77.0,61.0,Yes,7.01
49,Female,CSE,6.8,77.2,0,65.0,67.0,No,0.0
50,Female,ECE,7.25,95.0,1,58.0,58.0,No,0.0
51,Male,CSE,8.18,53.8,1,62.0,31.0,No,0.0
52,Male,EEE,7.56,61.8,2,100.0,58.0,Yes,7.42
